"Monsoon" "Upper cloud"
"Symplocos morrisonicola Hayata" 1 95
"Symplocos sasakii Hayata" 4 5
"Symplocos setchuensis Brand" 4 4
"Symplocos sonoharae Koidz." 1 6
"Symplocos stellaris Brand" 2 37
"Symplocos theophrastifolia Sieb. & Zucc." 45 0
"Symplocos wikstroemiifolia Hayata" 18 22
"Syzygium buxifolium Hook. & Arn." 59 4
"Syzygium formosanum (Hayata) Mori" 15 0
"Syzygium jambas (L.) Alston" 3 0
"Taiwania cryptomerioides Hayata" 0 12
"Tarenna gracilipes (Hayata) Ohwi" 0 0
"Taxus sumatrana (Miq.) de Laub." 0 7
"Ternstroemia gymnanthera (Wight & Arn.) Sprague" 16 71
"Tetradium glabrifolium (Champ. ex Benth.) T. Hartley" 9 2
"Tetradium ruticarpum (A. Juss.) T. Hartley" 0 0
"Tetrapanax papyriferus (Hook.) K. Koch" 0 0
"Tetrastigma formosanum (Hemsl.) Gagnep." 1 0
"Toddalia asiatica (L.) Lam." 0 1
"Trachelospermum formosanum Liu & Ou" 0 0
"Trema orientalis (L.) Bl." 0 0
"Tricalysia dubia (Lindl.) Ohwi" 65 0
"Trochodendron aralioides Sieb. & Zucc." 18 102
"Tsuga chinensis (Franchet) Pritz. ex Diels var. formosana (Hayata) Li & Keng" 0 90
"Turpinia formosana Nakai" 62 0
"Turpinia ternata Nakai" 13 0
"Ulmus uyematsui Hayata" 0 2
"Vaccinium bracteatum Thunb." 4 9
"Vaccinium dunalianum Wight var. caudatifolium (Hayata) H. L. Li" 1 3
"Vaccinium japonicum Miq. var. lasiostemon Hayata" 0 4
"Vaccinium kengii C. E. Chang" 0 10
"Vaccinium randaiense Hayata" 2 1
"Vaccinium wrightii Gray" 6 10
"Vaccinium wrightii Gray var. formosanum (Hayata) H. L. Li" 0 0
"Ventilago leiocarpa Benth." 1 0
"Viburnum aboricolum Hayata" 0 0
"Viburnum arboricolum Hayata" 0 5
"Viburnum betulifolium Batal." 0 1
"Viburnum erosum Batal." 0 4
"Viburnum foetidum Wall. var. rectangulatum (Graebn.) Rehder" 9 27
"Viburnum formosanum Hayata" 45 2
"Viburnum integrifolium Hayata" 1 9
"Viburnum luzonicum Rolfe" 26 5
"Viburnum odoratissimum Ker" 0 2
"Viburnum parvifolium Hayata" 0 1
"Viburnum plicatum Thunb. var. formosanum Y. C. Liu & C. H. Ou" 0 1
"Viburnum propinquum Hemsl." 0 1
"Viburnum sympodiale Graebner" 0 23
"Viburnum taitoense Hayata" 0 5
"Viburnum urceolatum Sieb. et Zucc." 0 24
"Vitex negundo L." 0 0
"Vitex quinata (Lour.) F. N. Williams" 1 0
"Wendlandia formosana Cowan" 108 0
"Xylosma congesta (Lour.) Merr." 0 0
"Zanthoxylum ailanthoides Sieb. & Zucc." 0 0
"Zanthoxylum armatum DC." 1 0
"Zanthoxylum scandens Bl." 0 1
"Zelkova serrata (Thunb.) Makino" 0 0
