"upper_cloud" "lower_cloud" "lowland" "monsoon"
"Symplocos glauca (Thunb.) Koidz." 7 15 27 185
"Symplocos grandis Hand.-Mazz." 0 1 0 0
"Symplocos heishanensis Hayata" 214 119 0 18
"Symplocos konishii Hayata" 0 46 20 131
"Symplocos migoi Nagam." 413 117 0 74
"Symplocos modesta Brand" 18 654 249 46
"Symplocos morrisonicola Hayata" 1194 177 0 6
"Symplocos sasakii Hayata" 11 3 0 11
"Symplocos setchuensis Brand" 27 1 0 9
"Symplocos sonoharae Koidz." 23 1 0 1
"Symplocos stellaris Brand" 147 49 26 5
"Symplocos theophrastifolia Sieb. & Zucc." 0 2 9 174
"Symplocos wikstroemiifolia Hayata" 177 189 0 92
"Syzygium buxifolium Hook. & Arn." 123 9 1 818
"Syzygium formosanum (Hayata) Mori" 0 3 1 51
"Syzygium jambas (L.) Alston" 0 0 3 9
"Taiwania cryptomerioides Hayata" 23 9 0 0
"Tarenna gracilipes (Hayata) Ohwi" 0 0 9 0
"Taxus sumatrana (Miq.) de Laub." 31 6 0 0
"Ternstroemia gymnanthera (Wight & Arn.) Sprague" 411 268 0 47
"Tetradium glabrifolium (Champ. ex Benth.) T. Hartley" 99 8 3 10
"Tetradium ruticarpum (A. Juss.) T. Hartley" 0 4 0 0
"Tetrapanax papyriferus (Hook.) K. Koch" 0 2 17 0
"Tetrastigma formosanum (Hemsl.) Gagnep." 0 0 0 1
"Toddalia asiatica (L.) Lam." 1 1 0 0
"Trachelospermum formosanum Liu & Ou" 0 3 0 0
"Trema orientalis (L.) Bl." 0 0 9 0
